Degree of Hearing Loss,Sign supported speech,Speech,aural,kinesthetic,read/write,visual,Captions/subtitle,ISL and Voice,ISL only,Transcripts,Voice Only
Moderate,0,1,0,1,1,1,1,1,0,1,1
Profound,1,0,0,0,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Severe,1,0,1,1,1,1,1,1,0,1,0
Profound,1,0,0,1,0,1,0,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Severe,1,0,0,1,1,1,1,1,0,1,0
Severe,1,0,1,1,1,0,1,1,0,1,0
Profound,1,0,0,1,1,1,0,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Severe,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,1,0,1,0,1,0,0,1
Profound,1,0,0,1,1,1,0,0,1,0,0
Moderate,1,0,1,1,1,1,1,1,0,1,0
Profound,1,0,1,1,1,1,1,1,0,1,1
Profound,1,0,1,1,1,1,1,1,0,0,1
Moderate,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,1,1,0
Mild,0,1,1,1,0,0,0,0,0,1,1
Moderate,0,1,0,1,1,1,1,0,0,1,1
Profound,1,0,0,1,1,1,1,1,0,1,0
Moderate,0,1,0,1,1,1,1,0,0,1,1
Profound,1,0,0,1,1,1,0,1,1,0,0
Profound,1,0,0,1,1,1,0,1,0,1,0
Moderate,0,1,1,1,1,0,1,0,0,1,1
Profound,1,0,0,1,1,1,1,1,1,1,0
Severe,1,0,0,1,1,1,1,1,0,0,0
Severe,0,1,0,0,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,0,0,1,0,1,0,0,0
Severe,1,0,1,1,1,1,1,1,0,1,0
Moderate,1,0,0,1,1,1,1,1,1,1,0
Profound,1,0,0,0,1,1,0,1,1,0,0
Profound,1,0,0,1,1,1,1,1,1,1,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,0,1,0,0
Profound,1,0,0,1,0,1,1,0,1,0,0
Severe,1,0,0,1,1,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,0,1,0,0
Profound,1,0,0,1,0,1,1,0,1,0,0
Severe,1,0,0,1,1,1,1,0,1,0,0
Profound,1,0,0,1,1,1,1,0,1,0,0
Moderate,1,0,0,0,1,1,1,1,0,0,0
Profound,1,0,0,1,1,1,1,1,0,0,0
Severe,1,0,0,1,1,1,1,1,0,0,0
Profound,1,0,0,1,1,1,1,0,1,0,0
Profound,1,0,0,1,1,1,1,1,0,0,0
Severe,1,0,0,1,0,1,1,1,0,0,0
Profound,0,0,0,1,0,1,1,0,1,0,0
Profound,1,0,0,1,0,1,0,0,1,0,0
Severe,1,0,0,1,0,0,1,1,1,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Severe,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,0,1,0,0
Profound,1,0,0,0,1,1,1,1,0,0,0
Moderate,1,0,0,1,0,1,1,1,0,0,0
Severe,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Moderate,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Moderate,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,1,1,1,1,1,0,0,0
Severe,1,0,0,1,0,1,1,1,0,0,0
Profound,0,0,0,1,0,1,1,0,1,0,0
Profound,1,0,0,1,0,1,0,0,1,0,0
Severe,0,1,0,0,1,1,0,0,1,0,0
Profound,0,0,0,0,1,1,0,1,0,0,0
Profound,1,0,0,0,1,1,0,1,0,0,0
Profound,0,0,0,1,0,1,1,1,1,0,0
Profound,0,0,0,1,0,1,1,1,1,0,0
Profound,0,0,0,1,0,1,1,1,1,0,0
Profound,1,0,0,0,1,1,0,1,0,0,0
Profound,0,0,1,0,1,0,1,1,0,0,0
Profound,1,0,0,0,1,1,1,1,0,1,0
Profound,0,0,0,0,1,0,0,1,0,0,0
Profound,0,0,0,1,0,1,1,1,1,0,0
Mild,0,1,0,1,0,1,1,1,1,0,0
Profound,0,0,0,0,1,0,1,0,1,0,0
Profound,0,0,0,0,1,0,0,1,0,0,0
Moderate,1,0,1,1,1,1,1,1,1,0,0
Profound,1,0,0,1,1,0,1,1,1,0,0
Profound,1,0,1,0,1,0,0,1,0,0,0
Mild,0,1,1,0,1,0,0,0,0,0,1
Moderate,1,0,0,1,1,0,0,0,0,0,1
Profound,0,0,0,1,1,0,1,1,1,0,0
Profound,1,0,0,1,1,1,1,1,1,0,0
Moderate,0,1,0,0,1,0,0,0,0,0,1
Profound,0,1,0,1,1,0,0,1,0,0,0
Profound,0,1,0,1,1,0,0,1,0,0,0
Profound,0,1,0,1,1,0,0,1,0,0,0
Severe,1,0,0,1,0,1,0,1,1,0,0
Profound,1,0,0,0,1,1,0,1,0,0,0
Profound,1,0,0,1,0,1,0,1,1,0,0
Profound,1,0,0,1,0,1,0,1,1,0,0
Severe,1,0,0,1,0,1,0,1,1,0,0
Profound,1,0,0,1,0,1,0,1,1,0,0
Profound,1,0,0,1,1,1,1,0,1,1,0
Profound,1,0,0,1,1,1,1,0,0,1,1
Profound,1,0,0,1,1,1,1,0,1,1,0
Profound,1,0,0,0,1,1,1,0,1,1,0
Severe,1,0,1,1,1,1,1,0,0,1,1
Profound,1,0,0,1,1,1,1,0,0,1,1
Profound,1,0,0,1,1,1,1,0,1,1,0
Profound,1,0,0,1,1,1,1,0,1,1,0
Profound,1,0,0,1,1,1,1,1,0,1,0
Profound,1,0,0,1,1,1,1,0,1,1,0
Profound,0,1,0,1,1,1,1,0,0,0,0
Profound,1,0,0,1,1,1,1,0,1,0,0
Profound,1,0,0,1,1,1,1,0,1,0,0
Profound,0,0,0,1,0,1,0,0,1,0,0
Profound,1,0,0,1,1,1,1,0,1,0,0
Profound,0,0,0,1,1,1,1,0,1,0,0
Profound,1,0,1,0,1,1,1,1,0,0,0
Profound,1,0,1,1,0,1,1,1,0,0,0
Profound,0,1,1,1,0,1,0,0,0,0,1
Profound,0,0,0,1,1,1,0,0,1,0,0
Profound,1,0,0,0,0,1,0,1,0,0,0
Profound,1,0,1,0,1,1,1,1,0,0,0
Mild,0,1,0,0,0,1,0,1,0,0,0
Profound,1,0,0,0,0,1,0,0,1,0,0
Profound,1,0,0,0,0,1,0,1,0,0,0
Severe,1,0,0,0,0,1,0,1,0,0,0
Profound,1,0,1,1,1,1,1,1,0,0,0
Profound,0,0,0,0,0,1,0,0,1,0,0
Severe,0,1,0,0,0,1,0,1,0,0,0
Profound,1,0,1,0,0,1,0,0,0,0,1
Profound,1,0,1,1,1,1,1,1,0,0,0
Profound,1,0,1,0,1,1,1,1,0,0,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,0,0,0,1,1,1,0,1,0
Profound,0,0,0,0,0,1,1,1,0,1,0
Profound,0,0,1,1,0,1,1,1,0,1,0
Severe,0,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,0,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Severe,0,0,1,1,0,0,1,1,0,1,0
Profound,1,0,1,1,0,1,1,1,0,1,0
Moderate,1,0,1,1,0,0,1,1,0,1,0
Severe,1,0,1,1,0,0,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Moderate,1,0,1,1,0,1,1,1,0,1,0
Profound,1,0,1,1,0,1,1,1,0,1,0
Severe,1,0,1,1,0,1,1,1,0,1,0
Profound,0,0,1,1,0,1,0,0,1,0,0
Severe,0,0,1,1,0,0,0,0,1,0,0
Moderate,0,0,1,1,0,0,0,0,1,0,0
Profound,0,0,1,1,0,0,0,0,1,0,0
Profound,0,0,1,1,0,0,1,1,0,1,0
Profound,0,0,1,1,0,0,1,1,0,1,0
Severe,1,0,1,1,0,0,1,1,0,1,0
Severe,0,0,1,1,0,0,0,0,1,0,0
Profound,1,0,0,1,0,1,1,1,0,0,0
Profound,1,0,0,0,1,1,1,1,0,0,0
Profound,1,0,0,0,1,1,1,0,1,0,0
Profound,1,0,0,1,0,1,0,1,0,0,0
Severe,1,0,0,0,1,1,0,1,1,0,0
Profound,1,0,0,0,1,0,0,1,0,0,0
Profound,1,0,0,0,1,0,0,1,0,0,0
Profound,0,0,0,0,0,1,0,1,0,0,0
Profound,1,0,0,0,0,1,0,1,0,0,0
Severe,1,0,0,1,0,1,1,1,0,0,0
Severe,1,0,0,1,0,1,1,1,0,0,0
Profound,0,0,0,0,0,1,0,1,0,0,0
Profound,1,0,0,1,0,1,0,1,0,0,0
Severe,1,0,0,0,0,1,0,1,0,0,0
Moderate,0,0,0,0,0,1,0,1,0,0,0
Profound,1,0,0,0,1,0,0,1,0,0,0
Profound,1,0,1,0,0,0,0,1,0,0,0
Profound,1,0,1,0,0,0,0,1,0,0,0
Severe,0,0,0,0,0,1,0,0,1,0,0
Profound,1,0,0,1,0,0,0,1,0,0,0
Profound,1,0,0,1,0,0,0,1,0,0,0
Profound,1,0,1,0,1,0,1,0,1,0,0
Profound,1,0,0,1,0,1,0,1,0,0,0
Moderate,1,0,0,0,1,1,0,1,0,1,0
Profound,1,0,1,0,1,1,1,0,0,1,0
Severe,0,1,0,0,0,1,0,0,0,0,1
Profound,0,0,1,0,0,1,0,1,0,0,0
Profound,1,0,0,1,1,1,1,0,1,1,0
