LearnerID,Lip Reading Proficiency,Sign supported speech,Speech,auditory,kinesthetic,read/write,visual,Captions/subtitle,ISL and Voice,ISL only,Transcripts,Voice Only
40,0.0,1.0,0.0,0,0,1,1,1,1,1,0,0
10,0.0,0.0,0.0,0,0,1,1,1,1,1,0,0
261,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
12,0.6000000000000001,0.0,0.0,0,1,1,1,0,1,1,0,0
278,0.6000000000000001,0.0,0.0,1,1,0,0,0,0,1,0,0
89,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0
29,1.0,1.0,0.0,1,1,1,1,0,1,0,0,0
98,0.8,1.0,0.0,1,1,0,1,1,0,0,0,0
6,1.0,1.0,0.0,0,1,1,1,1,1,0,1,0
255,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
99,0.6000000000000001,1.0,0.0,1,1,0,1,0,1,0,0,0
36,0.0,1.0,0.0,0,0,1,1,1,1,1,0,0
17,0.8,0.0,1.0,0,1,1,1,0,1,1,0,0
268,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
35,0.6000000000000001,0.0,0.0,0,1,1,1,1,0,1,0,0
8,0.6000000000000001,0.0,0.0,0,0,1,1,1,0,1,0,0
48,0.6000000000000001,1.0,0.0,0,0,0,1,0,1,0,0,0
249,0.6000000000000001,1.0,0.0,0,0,0,1,1,1,0,1,0
28,1.0,1.0,0.0,1,1,0,1,0,1,0,0,0
20,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0
260,0.6000000000000001,1.0,0.0,1,1,0,1,1,1,0,1,0
26,1.0,1.0,0.0,0,1,0,1,0,1,0,0,0
77,0.6000000000000001,0.0,0.0,0,1,0,1,1,0,1,1,0
61,0.8,1.0,0.0,0,1,0,1,1,1,0,1,0
72,0.6000000000000001,1.0,0.0,1,0,1,1,1,1,0,1,0
63,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
54,0.8,0.0,1.0,1,1,0,1,1,1,0,1,0
55,0.4,0.0,0.0,0,1,0,1,1,0,1,1,0
65,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
67,0.8,1.0,0.0,1,1,1,1,1,1,0,1,0
58,0.4,1.0,0.0,0,1,0,1,1,1,0,1,0
44,0.8,1.0,0.0,0,1,0,1,1,0,1,1,0
49,1.0,1.0,0.0,0,0,1,1,1,1,0,1,0
62,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
50,0.0,0.0,0.0,0,1,0,1,1,1,0,1,0
59,0.8,0.0,0.0,0,1,0,1,1,0,1,1,0
57,0.4,0.0,0.0,0,1,0,1,1,0,1,1,0
70,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
45,0.8,0.0,1.0,1,1,0,1,0,0,0,1,1
46,0.4,0.0,0.0,0,1,0,1,1,0,1,1,0
75,1.0,0.0,1.0,1,0,0,1,1,0,0,0,0
47,0.0,0.0,0.0,0,1,1,1,1,0,1,1,0
73,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
69,0.8,1.0,0.0,1,1,1,1,1,1,0,1,0
76,0.0,0.0,0.0,0,1,1,1,1,0,1,1,0
68,0.8,1.0,0.0,1,1,1,1,1,1,0,1,0
64,0.4,1.0,0.0,1,1,0,1,1,1,0,1,0
71,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
51,0.4,0.0,0.0,0,1,0,1,1,0,1,1,0
66,0.4,1.0,0.0,1,0,1,1,1,1,0,1,0
78,1.0,0.0,1.0,1,0,0,1,0,0,0,0,1
53,1.0,0.0,1.0,1,0,1,1,1,0,0,1,1
225,0.8,0.0,1.0,0,1,1,1,1,0,0,0,0
238,0.6000000000000001,1.0,0.0,0,0,0,1,0,0,1,0,0
233,0.8,0.0,1.0,1,1,0,1,0,0,0,0,1
226,0.4,1.0,0.0,0,1,1,1,1,0,1,0,0
240,0.6000000000000001,1.0,0.0,0,0,0,1,0,1,0,0,0
230,0.6000000000000001,0.0,0.0,0,1,1,1,1,0,1,0,0
245,1.0,1.0,0.0,1,1,1,1,1,1,0,0,0
236,1.0,1.0,0.0,1,0,1,1,1,1,0,0,0
228,0.4,0.0,0.0,0,1,0,1,0,0,1,0,0
229,0.6000000000000001,1.0,0.0,0,1,1,1,1,0,1,0,0
242,0.4,0.0,0.0,0,0,0,1,0,0,1,0,0
237,1.0,0.0,1.0,0,0,0,1,0,1,0,0,0
243,0.6000000000000001,0.0,1.0,0,0,0,1,0,1,0,0,0
241,0.6000000000000001,1.0,0.0,1,1,1,1,1,1,0,0,0
227,0.6000000000000001,1.0,0.0,0,1,1,1,1,0,1,0,0
234,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0
246,1.0,1.0,0.0,1,0,1,1,1,1,0,0,0
232,0.8,1.0,0.0,1,1,0,1,1,1,0,0,0
235,0.6000000000000001,1.0,0.0,0,0,0,1,0,1,0,0,0
239,0.6000000000000001,1.0,0.0,0,0,0,1,0,1,0,0,0
244,0.0,1.0,0.0,1,0,0,1,0,0,0,0,1
231,0.4,1.0,0.0,1,0,1,1,1,1,0,0,0
288,0.8,1.0,0.0,0,1,0,1,1,1,0,0,0
304,0.2,0.0,1.0,0,0,0,1,0,0,0,0,1
287,0.6000000000000001,1.0,0.0,0,0,0,1,0,1,0,0,0
300,0.6000000000000001,1.0,0.0,1,0,1,0,1,0,1,0,0
279,0.8,1.0,0.0,0,1,0,1,1,1,0,0,0
291,0.6000000000000001,1.0,0.0,0,1,0,1,0,1,0,0,0
296,0.6000000000000001,1.0,0.0,1,0,0,0,0,1,0,0,0
301,0.6000000000000001,1.0,0.0,0,1,0,1,0,1,0,0,0
290,0.4,0.0,0.0,0,0,0,1,0,1,0,0,0
292,0.6000000000000001,1.0,0.0,0,0,0,1,0,1,0,0,0
294,0.4,1.0,0.0,0,0,1,0,0,1,0,0,0
280,0.4,1.0,0.0,0,0,1,1,1,1,0,0,0
283,0.8,1.0,0.0,0,0,1,1,0,1,1,0,0
284,0.4,1.0,0.0,0,0,1,0,0,1,0,0,0
281,0.6000000000000001,1.0,0.0,0,0,1,1,1,0,1,0,0
295,0.8,1.0,0.0,1,0,0,0,0,1,0,0,0
302,0.8,1.0,0.0,0,0,1,1,0,1,0,1,0
282,0.6000000000000001,1.0,0.0,0,1,0,1,0,1,0,0,0
305,0.6000000000000001,0.0,0.0,1,0,0,1,0,1,0,0,0
303,0.8,1.0,0.0,1,0,1,1,1,0,0,1,0
297,0.6000000000000001,0.0,0.0,0,0,0,1,0,0,1,0,0
306,0.2,1.0,0.0,0,1,1,1,1,0,1,1,0
299,0.6000000000000001,1.0,0.0,0,1,0,0,0,1,0,0,0
286,0.4,0.0,0.0,0,0,0,1,0,1,0,0,0
289,0.8,1.0,0.0,0,1,0,1,1,1,0,0,0
293,0.6000000000000001,0.0,0.0,0,0,0,1,0,1,0,0,0
298,0.6000000000000001,1.0,0.0,0,1,0,0,0,1,0,0,0
285,0.4,1.0,0.0,0,0,1,0,0,1,0,0,0
